,FeedForward
Coverage[0.05],0.06652697423725461
Coverage[0.15],0.24692800276912424
Coverage[0.1],0.15311773722988675
Coverage[0.25],0.42079562873955395
Coverage[0.2],0.3380433170152796
Coverage[0.35],0.5642894229342827
Coverage[0.3],0.4954939919893191
Coverage[0.45],0.6818164960688325
Coverage[0.4],0.6267492459081243
Coverage[0.55],0.7677829698857737
Coverage[0.5],0.7314814814814814
Coverage[0.65],0.843179795282599
Coverage[0.6],0.8076262176729466
Coverage[0.75],0.9012139642980765
Coverage[0.7],0.874901102704841
Coverage[0.85],0.9428991742075855
Coverage[0.8],0.9237501854324284
Coverage[0.95],0.9728526924788607
Coverage[0.9],0.9584754981951243
MAE_Coverage,0.4728526924788607
MAPE,0.20460703881846146
MASE,0.5645747480502914
MSE,0.00044066029618354275
MSIS,6.205469692749441
ND,0.14680174250763628
NRMSE,0.40083296611447183
OWA,
QuantileLoss[0.05],322.57316855153624
QuantileLoss[0.15],665.4072112983208
QuantileLoss[0.1],511.6285021655029
QuantileLoss[0.25],909.6933730171731
QuantileLoss[0.2],796.706743139762
QuantileLoss[0.35],1086.5712255339167
QuantileLoss[0.3],1006.1179878272
QuantileLoss[0.45],1205.5088841334307
QuantileLoss[0.4],1152.8676123646087
QuantileLoss[0.55],1259.763109550142
QuantileLoss[0.5],1243.8136177114502
QuantileLoss[0.65],1259.3689116669702
QuantileLoss[0.6],1268.2992068646474
QuantileLoss[0.75],1185.683301218378
QuantileLoss[0.7],1232.7396261297167
QuantileLoss[0.85],1012.0949672483606
QuantileLoss[0.8],1113.7151585363317
QuantileLoss[0.95],653.3062598996157
QuantileLoss[0.9],868.6878768321127
RMSE,0.020991910255704287
abs_error,1243.8136197039858
abs_target_mean,0.052370718055433876
abs_target_sum,8472.744249880314
mean_absolute_QuantileLoss,987.0814075625883
mean_wQuantileLoss,0.11650079106029099
num_masked_target_values,0.0
sMAPE,0.15513448245907752
seasonal_error,0.013264990280004111
wQuantileLoss[0.05],0.03807186420811568
wQuantileLoss[0.15],0.07853502851897369
wQuantileLoss[0.1],0.060385217242067725
wQuantileLoss[0.25],0.10736702846070487
wQuantileLoss[0.2],0.09403172332872155
wQuantileLoss[0.35],0.1282431280218644
wQuantileLoss[0.3],0.1187475932418723
wQuantileLoss[0.45],0.1422808063810565
wQuantileLoss[0.4],0.13606779319237614
wQuantileLoss[0.55],0.14868418925402327
wQuantileLoss[0.5],0.14680174227246626
wQuantileLoss[0.65],0.14863766384601543
wQuantileLoss[0.6],0.14969166653207588
wQuantileLoss[0.75],0.13994088175565159
wQuantileLoss[0.7],0.14549472871757346
wQuantileLoss[0.85],0.11945302931369108
wQuantileLoss[0.8],0.13144680468220957
wQuantileLoss[0.95],0.07710680750322947
wQuantileLoss[0.9],0.10252733367283969
